"","ID","2","3","4","5"
"1",201,NA,NA,NA,NA
"2",202,5,100,100,100
"3",203,1,8,14,100
"4",204,1,1,1,2
"5",205,1,1,1,1
"6",206,NA,NA,NA,NA
"7",207,NA,NA,NA,NA
"8",208,1,3,20,100
"9",209,NA,NA,NA,NA
"10",210,13,14,3,54
"11",211,NA,NA,NA,NA
"12",212,NA,NA,NA,NA
"13",213,NA,NA,NA,NA
"14",214,NA,NA,NA,NA
"15",215,NA,NA,NA,NA
"16",217,1,1,3,5
"17",218,1,18,100,100
"18",219,NA,NA,NA,NA
"19",220,NA,NA,NA,NA
"20",221,NA,NA,NA,NA
"21",222,1,5,3,27
"22",223,NA,NA,NA,NA
"23",224,1,38,100,100
"24",225,NA,NA,NA,NA
"25",226,1,3,22,3
"26",227,1,1,1,4
"27",228,12,19,100,100
"28",229,NA,NA,NA,NA
"29",230,NA,NA,NA,NA
"30",231,26,62,100,100
"31",232,1,1,11,64
"32",233,NA,NA,NA,NA
"33",234,NA,NA,NA,NA
"34",235,14,100,100,100
"35",236,NA,NA,NA,NA
"36",237,100,8,100,100
"37",238,NA,NA,NA,NA
"38",239,19,100,100,100
"39",240,1,5,2,6
"40",241,NA,NA,NA,NA
"41",242,NA,NA,NA,NA
"42",243,NA,NA,NA,NA
"43",244,1,100,100,100
"44",245,1,1,1,2
"45",246,1,2,1,3
"46",247,NA,NA,NA,NA
"47",248,NA,NA,NA,NA
"48",249,75,100,100,100
"49",250,11,100,100,100
"50",251,1,1,1,9
"51",252,NA,NA,NA,NA
"52",253,1,1,41,100
"53",256,NA,NA,NA,NA
"54",257,NA,NA,NA,NA
"55",258,1,2,7,12
"56",259,NA,NA,NA,NA
"57",261,NA,NA,NA,NA
"58",262,NA,NA,NA,NA
"59",263,NA,NA,NA,NA
"60",264,NA,NA,NA,NA
"61",265,2,100,100,100
"62",266,NA,NA,NA,NA
"63",267,NA,NA,NA,NA
"64",268,NA,NA,NA,NA
"65",269,NA,NA,NA,NA
"66",270,NA,NA,NA,NA
"67",271,1,1,1,1
"68",272,1,2,1,75
"69",273,NA,NA,NA,NA
"70",274,1,1,2,4
"71",275,6,100,100,100
"72",276,16,1,16,85
"73",277,NA,NA,NA,NA
"74",278,NA,NA,NA,NA
"75",281,1,1,1,1
"76",282,NA,NA,NA,NA
"77",283,NA,NA,NA,NA
"78",284,11,100,100,100
"79",285,NA,NA,NA,NA
"80",286,6,100,100,100
"81",402,1,1,57,100
"82",404,100,14,61,100
"83",406,4,2,51,100
"84",408,NA,NA,NA,NA
"85",410,1,1,1,10
"86",412,1,1,45,100
"87",414,1,1,18,100
"88",416,1,1,11,8
"89",418,NA,NA,NA,NA
"90",420,5,100,100,100
"91",422,1,9,72,100
"92",424,1,11,66,100
"93",426,7,100,100,100
"94",428,1,1,2,3
"95",430,NA,NA,NA,NA
"96",434,NA,NA,NA,NA
"97",436,1,100,100,100
"98",438,NA,NA,NA,NA
"99",440,NA,NA,NA,NA
"100",442,NA,NA,NA,NA
"101",444,1,1,1,2
"102",446,2,3,1,29
"103",448,1,1,5,100
"104",450,NA,NA,NA,NA
"105",452,1,3,1,24
"106",454,20,100,100,100
"107",456,NA,NA,NA,NA
"108",458,NA,NA,NA,NA
"109",460,NA,NA,NA,NA
"110",462,22,100,100,100
"111",464,8,4,100,100
"112",466,NA,NA,NA,NA
"113",468,1,2,3,14
"114",470,1,4,31,100
"115",472,NA,NA,NA,NA
"116",474,6,2,1,6
"117",476,1,89,100,100
"118",478,13,100,100,100
"119",480,NA,NA,NA,NA
"120",482,NA,NA,NA,NA
"121",484,4,100,100,100
"122",486,NA,NA,NA,NA
"123",488,NA,NA,NA,NA
"124",490,NA,NA,NA,NA
"125",492,30,100,100,100
"126",494,1,3,9,100
"127",496,NA,NA,NA,NA
"128",498,1,1,7,3
"129",500,NA,NA,NA,NA
"130",502,1,1,5,60
"131",504,1,1,1,4
"132",506,3,100,100,100
"133",512,1,4,44,100
"134",514,NA,NA,NA,NA
"135",516,1,1,12,100
"136",518,NA,NA,NA,NA
"137",522,1,2,1,38
"138",524,NA,NA,NA,NA
"139",526,1,1,1,100
"140",528,NA,NA,NA,NA
"141",530,1,1,1,1
"142",532,1,2,25,100
"143",534,NA,NA,NA,NA
"144",536,NA,NA,NA,NA
"145",538,NA,NA,NA,NA
"146",540,1,5,100,100
"147",542,NA,NA,NA,NA
"148",544,1,2,2,24
"149",546,NA,NA,NA,NA
"150",548,1,100,34,100
"151",550,NA,NA,NA,NA
"152",552,1,100,100,100
"153",554,8,100,100,100
"154",556,NA,NA,NA,NA
"155",562,1,6,7,33
"156",564,NA,NA,NA,NA
"157",566,4,43,100,100
"158",568,1,1,1,4
"159",570,1,1,16,45
"160",572,1,100,100,100
